Comp,E,dE_eVperAtom,dE_meVperAtom,Lattice
Ti9V9Cr9Al9,-7.588052717,-0.100573267,-100.6,BCC
Ti9V9Cr9Al9H72,-4.729890588,0.019183462,19.2,BCC
Ti12V12Cr12Al12,-7.596440048,-0.108960599,-109.0,FCC
Ti12V12Cr12Al12H96,-4.787767904,-0.038693854,-38.7,FCC
Ti10V11Nb11Ta11Al11,-8.571760819,-0.077809676,-77.8,BCC
Ti10V11Nb11Ta11Al11H108,-5.105915135,-0.02135052,-21.4,BCC
Ti9V9Nb10Ta10Al10,-8.571941548,-0.085948747,-85.9,FCC
Ti9V9Nb10Ta10Al10H96,-5.177022265,-0.095110432,-95.1,FCC
Ti13V13Nb14Cr14,-9.02912086,0.068236725,68.236725,BCC
Ti13V13Nb14Cr14H106,-5.414941822,-0.105418868,-105.4188679,BCC
Ti12V12Nb12Cr12,-8.998590884,0.072377697,72.37769667,FCC
Ti12V12Nb12Cr12H96,-5.463733079,-0.186829318,-186.8293183,FCC
Ti10V11Nb11Hf11Zr11,-8.98452254,0.094002908,94.00290778,BCC
Ti10V11Nb11Hf11Zr11H106,-5.497409232,-0.194242124,-194.2421237,BCC
Ti9V9Nb10Hf10Zr10,-8.973409246,0.110443639,110.4436393,FCC
Ti9V9Nb10Hf10Zr10H96,-5.652612095,-0.371413566,-371.4135661,FCC
