,Composition,ElemSortAMU,GBTPredict,AWEMLPredict,lnPeqo,dH,dS
0,Al1 Cr1 Ta1 Zr1,AlCrZrTa,SS,SS,-8.8587401035635,50.78428627410797,89.29650218409235
1,Al1 Cr1 Ta1 Ti1,AlTiCrTa,SS,SS,-6.1878661373948045,45.727561877737266,91.08585458388724
2,Al1 Cr1 Ta1 Mo1,AlCrMoTa,SS,SS,-4.858468954447434,35.759529012796214,83.66688176061743
3,Al1 Cr1 Ta1 V1,AlVCrTa,SS,SS,-3.988029827753939,35.60584466974362,87.33499118063519
4,Al1 Cr1 Ta1 Pd1,AlCrPdTa,SS,SS,-5.003804375656966,38.82936615092423,92.36966860134383
5,Al1 Cr1 Ta1 Nb1,AlCrNbTa,SS,SS,-6.430290094052659,43.4101994453282,88.36768100353095
6,Al1 Cr1 Ta1 Hf1,AlCrHfTa,SS,SS,-7.6527479293688785,47.94289423789592,88.43790857246258
7,Al1 Cr1 Zr1 Ti1,AlTiCrZr,IM,IM,-9.971237598334485,55.29006318272121,109.33043616113727
8,Al1 Cr1 Zr1 Mo1,AlCrZrMo,SS+IM,IM,-2.815825996709082,33.175339570781006,87.39428213944818
9,Al1 Cr1 Zr1 V1,AlVCrZr,IM,SS,-4.31481643078309,48.64644768028642,110.46604677447904
10,Al1 Cr1 Zr1 Pd1,AlCrZrPd,SS+IM,SS,-3.015451262312593,41.20157720617226,110.40059180539895
11,Al1 Cr1 Zr1 Nb1,AlCrZrNb,SS+IM,SS+IM,-8.535749191220296,48.389743973210074,90.55868472923923
12,Al1 Cr1 Zr1 Hf1,AlCrZrHf,SS,SS,-11.193847013862577,53.44734328933291,90.14582053959366
13,Al1 Cr1 Ti1 Mo1,AlTiCrMo,SS+IM,IM,-1.7825537345812112,32.81967010597757,86.76217346850233
14,Al1 Cr1 Ti1 V1,AlTiVCr,IM,SS,-1.9635398526723846,40.78380509459327,122.85679396423464
15,Al1 Cr1 Ti1 Pd1,AlTiCrPd,SS+IM,SS,-2.801337273988178,39.97218308604174,114.79751114403562
16,Al1 Cr1 Ti1 Nb1,AlTiCrNb,SS+IM,SS+IM,-2.9401874807769923,41.38347375234367,97.50149486997304
17,Al1 Cr1 Ti1 Hf1,AlTiCrHf,SS,SS,-9.163818626078822,53.18876770069662,90.47848118008335
18,Al1 Cr1 Mo1 V1,AlVCrMo,IM,IM,-1.195666939328001,27.349413355604423,83.62304764554327
19,Al1 Cr1 Mo1 Pd1,AlCrMoPd,SS+IM,IM,-3.177351693851783,32.59174461743193,81.0826071644742
20,Al1 Cr1 Mo1 Nb1,AlCrNbMo,SS,IM,-1.8854992940059956,29.840017948207613,82.78503697966872
21,Al1 Cr1 Mo1 Hf1,AlCrMoHf,SS,SS,-4.497323343961086,33.65807836796208,87.47936548458547
22,Al1 Cr1 V1 Pd1,AlVCrPd,SS+IM,SS,-2.084150260086711,36.49840815333723,112.88237074140805
23,Al1 Cr1 V1 Nb1,AlVCrNb,SS+IM,IM,-1.5921715792001123,32.47708419341694,89.23733784777566
24,Al1 Cr1 V1 Hf1,AlVCrHf,SS,SS,-6.288401786032967,45.8844773798091,88.76675705814134
25,Al1 Cr1 Pd1 Nb1,AlCrNbPd,SS+IM,SS,-3.364566628609492,38.31266017577968,90.31401130381236
26,Al1 Cr1 Pd1 Hf1,AlCrPdHf,SS,SS,-4.797750922375061,38.54023418943324,94.13908731452702
27,Al1 Cr1 Nb1 Hf1,AlCrNbHf,SS,SS,-8.368766694003419,48.85150312857637,92.59917737321481
28,Al1 Ta1 Zr1 Ti1,AlTiZrTa,SS,SS,-11.1589622310876,53.7236629463362,85.7866943081781
29,Al1 Ta1 Zr1 Mo1,AlZrMoTa,SS,SS,-2.5850323799596264,36.220734268074665,82.23393481192267
30,Al1 Ta1 Zr1 V1,AlVZrTa,SS,SS,-9.453381941104553,51.928441633188775,87.21216134334598
31,Al1 Ta1 Zr1 Pd1,AlZrPdTa,SS,SS,-3.778587530350874,38.62290938454293,95.18545093244798
32,Al1 Ta1 Zr1 Nb1,AlZrNbTa,SS,SS,-8.99818524323476,51.682764427016195,88.66527515325966
33,Al1 Ta1 Zr1 Hf1,AlZrHfTa,SS,SS,-10.489662945085497,51.27432152341229,87.3615597420334
34,Al1 Ta1 Ti1 Mo1,AlTiMoTa,SS,SS,-4.050982136412268,40.943232433847584,81.93264485273264
35,Al1 Ta1 Ti1 V1,AlTiVTa,SS,SS,-7.355630003686763,49.42823024190224,91.72844770146492
36,Al1 Ta1 Ti1 Pd1,AlTiPdTa,SS,SS,-5.377594109695618,41.426511440767435,94.50516543388743
37,Al1 Ta1 Ti1 Nb1,AlTiNbTa,SS,SS,-6.825224436869134,51.62603126124469,93.51124199985227
38,Al1 Ta1 Ti1 Hf1,AlTiHfTa,SS,SS,-10.020305158885618,51.60511617075583,85.16583738450154
39,Al1 Ta1 Mo1 V1,AlVMoTa,SS,SS,-5.494409998413485,36.343536295471864,81.72269925932748
40,Al1 Ta1 Mo1 Pd1,AlMoPdTa,SS,SS,-3.609225809145949,36.04687089139816,85.53826925584139
41,Al1 Ta1 Mo1 Nb1,AlNbMoTa,SS,SS,-3.471020316196727,37.58442629058345,81.99537573243276
42,Al1 Ta1 Mo1 Hf1,AlMoHfTa,SS,SS,-2.4112662919146417,35.40064626292254,83.14975171849184
43,Al1 Ta1 V1 Pd1,AlVPdTa,SS,SS,-5.323253018533467,39.10376606266648,92.94886875373616
44,Al1 Ta1 V1 Nb1,AlVNbTa,SS,SS,-6.337238503758647,49.61926796657806,95.03734966273959
45,Al1 Ta1 V1 Hf1,AlVHfTa,SS,SS,-8.239494045512274,49.657268866297734,86.06397224676456
46,Al1 Ta1 Pd1 Nb1,AlNbPdTa,SS,SS,-3.761503683373611,40.90322304635061,94.37379221502238
47,Al1 Ta1 Pd1 Hf1,AlPdHfTa,SS,SS,-2.6416265934328718,36.03788683987799,94.77610521032588
48,Al1 Ta1 Nb1 Hf1,AlNbHfTa,SS,SS,-8.046808550559899,49.6172973273624,88.6582171309187
49,Al1 Zr1 Ti1 Mo1,AlTiZrMo,SS,SS,-4.832613778805577,36.634939231193584,83.76612869353563
50,Al1 Zr1 Ti1 V1,AlTiVZr,IM,IM,-10.539611678048127,56.57387925279261,103.21753472844809
51,Al1 Zr1 Ti1 Pd1,AlTiZrPd,SS+IM,SS,-5.785911887368463,43.60493049979533,111.35560167495615
52,Al1 Zr1 Ti1 Nb1,AlTiZrNb,SS,SS,-11.76115457172589,53.34193402472661,84.08801462696384
53,Al1 Zr1 Ti1 Hf1,AlTiZrHf,SS,SS,-10.983998806407136,54.0706556986859,127.25845931698025
54,Al1 Zr1 Mo1 V1,AlVZrMo,SS,SS,-3.1878865330663215,36.10522905669435,82.01013001926108
55,Al1 Zr1 Mo1 Pd1,AlZrMoPd,SS,SS,-2.4551525906288005,34.661428703655616,85.74547569971045
56,Al1 Zr1 Mo1 Nb1,AlZrNbMo,SS+IM,SS,-3.212306673169321,34.83809270624654,83.83614877320389
57,Al1 Zr1 Mo1 Hf1,AlZrMoHf,SS,SS,-7.067397176590074,41.613957411682165,88.73472819722024
58,Al1 Zr1 V1 Pd1,AlVZrPd,SS+IM,IM,-3.9397228070454573,42.106039344918685,110.1005833698634
59,Al1 Zr1 V1 Nb1,AlVZrNb,SS,SS,-9.06869546682423,51.31339083965857,88.13581896333542
60,Al1 Zr1 V1 Hf1,AlVZrHf,SS,SS,-11.14805336000125,53.765044304608466,86.34519710307967
61,Al1 Zr1 Pd1 Nb1,AlZrNbPd,SS,SS,-4.022943150340308,38.71951444678182,95.17604982947653
62,Al1 Zr1 Pd1 Hf1,AlZrPdHf,SS,SS,-7.836959224487157,46.15253768845191,97.52339040183446
63,Al1 Zr1 Nb1 Hf1,AlZrNbHf,SS,SS,-11.11064439620339,54.31628000420844,90.03849965564504
64,Al1 Ti1 Mo1 V1,AlTiVMo,SS,SS,-2.4901017796672122,36.50149558686682,81.92181391258683
65,Al1 Ti1 Mo1 Pd1,AlTiMoPd,SS,SS,-2.794288554349949,36.18457928722089,83.76205298135751
66,Al1 Ti1 Mo1 Nb1,AlTiNbMo,SS,SS,-3.9924060100844425,38.679722721628146,81.96276084531216
67,Al1 Ti1 Mo1 Hf1,AlTiMoHf,SS,SS,-4.604565972538842,38.20182689345198,86.15528336150801
68,Al1 Ti1 V1 Pd1,AlTiVPd,SS,SS,-2.931797699532155,43.31302145109621,113.3342374018243
69,Al1 Ti1 V1 Nb1,AlTiVNb,SS,SS,-4.265124662424223,47.07579440029435,96.15156844446538
70,Al1 Ti1 V1 Hf1,AlTiVHf,SS,SS,-10.732173645032391,54.21870177225925,84.62465113951625
71,Al1 Ti1 Pd1 Nb1,AlTiNbPd,SS,SS,-3.9205813603372883,41.88904878329965,95.41993068645859
72,Al1 Ti1 Pd1 Hf1,AlTiPdHf,SS,SS,-5.157508428771251,40.023570533887636,96.02075340210988
73,Al1 Ti1 Nb1 Hf1,AlTiNbHf,SS,SS,-10.997496573486444,54.91343756310885,86.82138865718419
74,Al1 Mo1 V1 Pd1,AlVMoPd,SS,SS,-3.2311596262340285,36.124326809391604,82.7122652223337
75,Al1 Mo1 V1 Nb1,AlVNbMo,SS,IM,-3.355024309448066,35.66045591564285,82.90367483191042
76,Al1 Mo1 V1 Hf1,AlVMoHf,SS,SS,-3.038002098021025,36.74556990506078,81.9766573001429
77,Al1 Mo1 Pd1 Nb1,AlNbMoPd,SS,SS,-3.5844927272639406,35.7860736502071,83.99086727962843
78,Al1 Mo1 Pd1 Hf1,AlMoPdHf,SS,SS,-2.2303478817019227,35.57651784355436,88.09723367091566
79,Al1 Mo1 Nb1 Hf1,AlNbMoHf,SS,SS,-2.8976387568977326,34.335495408503995,82.36514434154086
80,Al1 V1 Pd1 Nb1,AlVNbPd,SS+IM,SS,-3.131859611279413,38.8343440415381,95.35056810093522
81,Al1 V1 Pd1 Hf1,AlVPdHf,SS,SS,-4.142068883814168,39.281012081219835,95.19174545941556
82,Al1 V1 Nb1 Hf1,AlVNbHf,SS,SS,-8.739748986708818,52.66831644588721,88.38474530465456
83,Al1 Pd1 Nb1 Hf1,AlNbPdHf,SS,SS,-3.523502571289958,39.163025350719856,95.89832763673225
84,Cr1 Ta1 Zr1 Ti1,TiCrZrTa,SS,SS,-11.99645744459757,56.49875928292757,84.84689818316177
85,Cr1 Ta1 Zr1 Mo1,CrZrMoTa,SS+IM,SS,-2.94170311132025,35.778306718141785,85.99230729266831
86,Cr1 Ta1 Zr1 V1,VCrZrTa,SS,SS,-7.711266838361114,52.13112769485485,90.47922128659172
87,Cr1 Ta1 Zr1 Pd1,CrZrPdTa,SS,SS,-4.750075558114047,43.426337421664286,106.02069571556478
88,Cr1 Ta1 Zr1 Nb1,CrZrNbTa,SS+IM,SS+IM,-9.858476184117873,51.88037208529408,90.63440913327435
89,Cr1 Ta1 Zr1 Hf1,CrZrHfTa,SS,SS,-11.339035237458098,55.14653583792409,86.12144316981407
90,Cr1 Ta1 Ti1 Mo1,TiCrMoTa,SS+IM,SS,-5.850067278408467,40.37926360364434,87.27960829239993
91,Cr1 Ta1 Ti1 V1,TiVCrTa,SS,SS,-5.559708232421711,47.15950036234755,95.65907154832779
92,Cr1 Ta1 Ti1 Pd1,TiCrPdTa,SS,SS,-6.162489589390462,44.57967806178039,105.20302134971931
93,Cr1 Ta1 Ti1 Nb1,TiCrNbTa,SS+IM,SS+IM,-7.368212478244701,51.011855846556216,94.5396615144698
94,Cr1 Ta1 Ti1 Hf1,TiCrHfTa,SS,SS,-10.912924946086337,54.36089341345431,86.16387577684425
95,Cr1 Ta1 Mo1 V1,VCrMoTa,SS,SS,-4.559355336972892,37.41234387353037,91.50414441032872
